Month,Gas,Water,Electricity,Trash,Sewar
Average/Month,$85.22,$39.18,$111.89,$25.40,$48.82
Jan-23,,,,,
Feb-23,,,,$67.25,
Mar-23,,,,$0.00,
Apr-23,$144.08,$40.44,$21.74,$0.00,
May-23,$58.81,$13.67,$35.66,$0.00,
Jun-23,$33.18,$11.49,$35.55,$46.50,
Jul-23,$26.17,$14.14,$58.15,$0.00,
Aug-23,$29.69,$21.62,$149.97,$0.00,
Sep-23,$32.05,$17.13,$161.34,$46.50,
Oct-23,$32.18,$26.52,$163.86,$0.00,
Nov-23,$53.81,$22.44,$102.51,$0.00,$34.84
Dec-23,$147.45,$28.97,$58.96,$46.50,$34.84
Jan-24,$157.58,$32.24,$67.76,$0.00,$34.84
Feb-24,$262.47,$34.28,$75.75,$0.00,$34.84
Mar-24,$160.05,$44.77,$66.39,$84.33,$34.84
Apr-24,$113.17,$33.20,$58.03,$0.00,$34.84
May-24,$68.73,$33.20,$56.33,$0.00,$34.84
Jun-24,$37.80,$34.09,$63.25,$81.63,$34.84
Jul-24,$36.91,$38.54,$96.52,$0.00,$34.84
Aug-24,$39.29,$37.48,$226.39,$0.00,$34.84
Sep-24,$41.68,$48.64,$212.93,$84.33,$54.86
Oct-24,$38.63,$60.90,$215.21,$0.00,$54.86
Nov-24,$64.81,$69.41,$138.66,$0.00,$54.86
Dec-24,$94.05,$37.30,$69.87,$84.33,$54.86
Jan-25,$173.74,$39.20,$80.24,$0.00,$54.86
Feb-25,$241.85,$44.86,$78.37,$0.00,$54.86
Mar-25,$198.14,$50.48,$74.00,$86.88,$54.86
Apr-25,$94.41,$45.28,$65.46,$0.00,$54.86
May-25,$88.31,$40.36,$63.15,$0.00,$54.86
Jun-25,$47.14,$48.23,$77.88,$86.88,$54.86
Jul-25,$42.56,$47.98,$120.02,$0.00,$54.86
Aug-25,$36.67,$53.28,$271.94,$0.00,$54.86
Sep-25,$38.63,$43.45,$276.80,$86.88,$65.66
Oct-25,$36.38,$76.21,$225.37,$0.00,$65.66
Nov-25,$49.34,$59.83,$156.93,$0.00,$65.66
Dec-25,$92.52,$43.45,$77.14,$86.88,$65.66
Jan-26,,,$102.08,,
